,perc
1206,1.74 percent
1207,15.5 percentage points
1208,7.7 percent
1209,160%
1210,17.7 percent
1211,41%
1212,66.6%
1213,128%
1214,2.18 percent
1215,12.37 percent
1216,49.4%
1217,3.17%
1218,36.6 percent
1219,19.3 percent
1220,2.24 percent
1221,122%
1222,28.0%
1223,0.374%
1224,138%
1225,5.7360%
1226,5.3 percent
1227,62.6%
1228,82.20%
1229,75.1%
1230,36.12%
1231,7.37 percent
1232,19.0%
1233,16.87 percent
1234,8.84 percent
1235,165%
1236,2.0%
1237,10.6 percent
1238,0.76%
1239,10.16 percent
1240,460%
1241,55.4%
1242,28.4%
1243,457%
1244,6.6 percentage points
1245,47.7%
1246,13.7%
1247,2.94%
1248,21.4%
1249,2.67%
1250,42.4%
1251,0.79%
1252,17 percentage points
1253,17%
1254,52.5 percentage points
1255,63.3 percent
1256,43.6 percent
1257,1.33%
1258,1.17 percent
1259,469%
1260,440%
1261,245%
1262,15.76%
1263,74 percent
1264,29.3%
1265,0.64 percent
1266,21.9 percent
1267,700%
1268,33.5%
1269,6.50 percent
1270,69.3%
1271,9.40%
1272,2.34%
1273,19.5%
1274,78.8%
1275,86.9 percent
1276,3.29 percent
1277,5.59%
1278,0.0000009%
1279,436%
1280,6.11%
1281,396%
1282,20.4%
1283,8.7%
1284,4.04%
1285,19.07%
1286,398%
1287,0.83 percentage points
1288,3.95 percent
1289,231%
1290,8.5%
1291,5.28%
1292,36.7%
1293,51.7%
1294,177%
1295,2.27 percentage points
1296,1.16 percent
1297,7.94%
1298,16.23%
1299,14.35%
1300,0.14%
1301,forty-two percent
1302,62.4 percent
1303,2.53 percent
1304,17.92%
1305,109%
1306,33.6%
1307,9.5 percent
1308,3.50 percent
1309,5.97%
1310,9.85 percent
1311,47%
1312,2.6 percent
1313,56 percent
1314,10.67%
1315,45.1%
1316,24.9 percent
1317,78.6%
1318,41 percent
1319,20.3 percent
1320,0.825%
1321,61.5%
1322,7.3940%
1323,9.03%
1324,30.55%
1325,18 percentage points
1326,1.1%
1327,88.1%
1328,64.7%
1329,213 percent
1330,14.8%
1331,660 percent
1332,2.60 percent
1333,6.39%
1334,3.2%
1335,70%
1336,3.21 percent
1337,12.5%
1338,2.4413%
1339,52.3 percent
1340,1.85%
1341,19.2%
1342,2.37 percentage points
1343,45.7 percent
1344,0.6603%
1345,2.701%
1346,339%
1347,450 percent
1348,66.9 percent
1349,13.28 percentage points
1350,189%
1351,0.88 percent
1352,1.365%
1353,114%
1354,29.1%
1355,62.8%
1356,1.30 percentage points
1357,325%
1358,24.84 percent
1359,1.6 percent
1360,96.5%
1361,37.0 percent
1362,0.49 percent
1363,2.20 percent
1364,28.1 percent
1365,3.11 percent
1366,127%
1367,19.7%
1368,0.36 percent
1369,22.0 percent
1370,8.21 percent
1371,1.01 percentage points
1372,1.63%
1373,3.34 percent
1374,6.82%
1375,18%
1376,2.48%
1377,25.4%
1378,4.85%
1379,19.9%
1380,59.8%
1381,91.2%
1382,12.6 percent
1383,442%
1384,36.0 percent
1385,1.44%
1386,84.5%
1387,7.15%
1388,0.24 percent
1389,12.85%
1390,137%
1391,1.21%
1392,5.75%
1393,16.29%
1394,7.50 percent
1395,12.5 percent
1396,5.0 percent
1397,32.1%
1398,2.91%
1399,50.7%
1400,12.94 percent
1401,8.54 percent
1402,275.4%
1403,22.1%
1404,25.2 percent
1405,3.92 percentage points
1406,71.9%
1407,26.5 percent
1408,6.35 percent
1409,1.79%
1410,340 percent
1411,10.82%
1412,9.0 percent
1413,0.00001387015%
1414,23.69%
1415,19%
1416,7.4%
1417,26.6 percent
1418,6.93 percent
1419,90 percent
1420,3.72%
1421,1.61 percent
1422,10.36 percent
1423,23.0 percent
1424,68.7%
1425,32.4%
1426,140 percent
1427,3.78%
1428,24.8 percent
1429,137.7%
1430,4.44%
1431,19.4 percent
1432,0.70%
1433,210%
1434,8.91%
1435,99.5%
1436,78.0%
1437,31 percent
1438,21.1%
1439,349.3%
1440,16.0 percent
1441,55.1%
1442,75.8%
1443,238%
1444,126.4%
1445,95%
1446,73.59 percent
1447,59.7%
1448,74.1 percent
1449,29.4%
1450,22.9 percent
1451,12.43 percent
1452,41.5 percent
1453,370 percent
1454,326 percent
1455,65.1%
1456,1.35 percent
1457,5.44 percent
1458,0.58%
1459,08%
1460,6.9 percent
1461,2.424 percent
1462,4.7 percent
1463,1.8%
1464,9.98%
1465,70.73%
1466,0.008%
1467,6.19%
1468,5.2%
1469,29.2%
1470,28.5 percent
1471,289.6%
1472,80.5%
1473,14 percentage points
1474,112%
1475,4.83 percent
1476,32.0 percent
1477,53%
1478,12 percent
1479,22.2 percent
1480,0.04 percentage points
1481,281%
1482,4.01 percent
1483,56.5%
1484,4.50 percent
1485,83.9 percent
1486,12.7%
1487,5.60 percent
1488,3.01%
1489,2 percentage points
1490,15.21%
1491,24.7 percent
1492,0.40 percent
1493,74.7%
1494,257%
1495,26 percentage points
1496,9.39%
1497,1.49%
1498,31.6%
1499,080%
1500,52.2 percent
1501,7.26 percent
1502,0.59 percent
1503,0.40 percentage points
1504,40.8 percent
1505,23.9%
1506,10.39%
1507,19.11%
1508,260%
1509,32.8%
1510,4.15 percent
1511,1.70 percentage points
1512,0.60 percent
1513,83.3%
1514,332%
1515,12.46%
1516,4.15%
1517,95.6%
1518,480%
1519,5.90%
1520,19 percent
1521,125%
1522,0.10 percent
1523,25.59%
1524,61.7%
1525,6.75 percent
1526,0.53%
1527,8.5 percentage points
1528,224.5%
1529,4.87 percent
1530,36.8 percent
1531,54%
1532,107%
1533,4.81 percent
1534,22.3%
1535,26.3 percent
1536,28.6 percent
1537,5.43%
1538,8.40%
